order_id,user_id,order_number,order_hour_of_day,days_since_prior_order,cart_size,reorder_rate,unique_departments,order_hour_anomaly,is_first_order,user_total_orders,user_avg_reorder,user_avg_cart,cart_deviation,reorder_deviation,days_deviation,anomaly_score,severity
1187899,1,11,8,14.0,11,0.9090909090909092,10,0,0,11,0.9090909090909092,11.0,0.0,0.0,0.0,0.0985485193843858,LOW
1492625,2,15,11,30.0,31,0.3870967741935484,14,0,0,15,0.3870967741935484,31.0,0.0,0.0,0.0,0.4192661285894197,HIGH
2196797,5,5,11,6.0,9,0.4444444444444444,7,0,0,5,0.4444444444444444,9.0,0.0,0.0,0.0,0.06901326479417902,LOW
525192,7,21,11,6.0,9,0.8888888888888888,6,0,0,21,0.8888888888888888,9.0,0.0,0.0,0.0,0.07034540049863847,LOW
880375,8,4,14,10.0,18,0.2222222222222222,9,0,0,4,0.2222222222222222,18.0,0.0,0.0,0.0,0.2222507191309525,MEDIUM
1094988,9,4,10,30.0,22,1.0,11,0,0,4,1.0,22.0,0.0,0.0,0.0,0.3876557205278838,HIGH
1822501,10,6,19,30.0,4,0.0,4,0,0,6,0.0,4.0,0.0,0.0,0.0,0.21260519074107898,MEDIUM
1827621,13,13,21,8.0,5,0.8,5,0,0,13,0.8,5.0,0.0,0.0,0.0,0.04880205627845147,LOW
2316178,14,14,19,11.0,11,0.7272727272727273,9,0,0,14,0.7272727272727273,11.0,0.0,0.0,0.0,0.01826914139755298,LOW
2180313,17,41,10,30.0,6,0.5,5,0,0,41,0.5,6.0,0.0,0.0,0.0,0.23293363553357704,MEDIUM
2461523,18,7,9,7.0,11,0.4545454545454545,9,0,0,7,0.4545454545454545,11.0,0.0,0.0,0.0,0.057029391985476074,LOW
1854765,21,34,12,28.0,6,0.8333333333333334,5,0,0,34,0.8333333333333334,6.0,0.0,0.0,0.0,0.22789711105621135,MEDIUM
3402036,23,5,12,30.0,12,0.5,5,0,0,5,0.5,12.0,0.0,0.0,0.0,0.07348392389404457,LOW
965160,24,19,16,0.0,1,1.0,1,0,0,19,1.0,1.0,0.0,0.0,0.0,0.3555896188916524,HIGH
2614670,27,82,14,4.0,17,0.8235294117647058,5,0,0,82,0.8235294117647058,17.0,0.0,0.0,0.0,0.455034808667528,HIGH
3110252,29,19,11,13.0,17,1.0,15,0,0,19,1.0,17.0,0.0,0.0,0.0,0.279870303663896,HIGH
62370,30,9,13,22.0,1,1.0,1,0,0,9,1.0,1.0,0.0,0.0,0.0,0.23510692691737445,MEDIUM
698604,34,6,13,30.0,5,0.6,5,0,0,6,0.6,5.0,0.0,0.0,0.0,0.03801571603423426,LOW
1524161,37,24,13,16.0,12,0.4166666666666667,8,0,0,24,0.4166666666666667,12.0,0.0,0.0,0.0,0.1221152534307891,LOW
3173750,38,13,9,30.0,19,0.5263157894736842,17,0,0,13,0.5263157894736842,19.0,0.0,0.0,0.0,0.2294395759254937,MEDIUM
2032076,41,6,20,30.0,15,0.2666666666666666,11,0,0,6,0.2666666666666666,15.0,0.0,0.0,0.0,0.09346210156795787,LOW
2803975,42,17,11,14.0,7,0.8571428571428571,6,0,0,17,0.8571428571428571,7.0,0.0,0.0,0.0,0.059763742757859006,LOW
1864787,43,12,11,26.0,33,0.6060606060606061,21,0,0,12,0.6060606060606061,33.0,0.0,0.0,0.0,0.5057684513375111,CRITICAL
2436259,44,4,12,30.0,6,0.0,5,0,0,4,0.0,6.0,0.0,0.0,0.0,0.20522111372566054,MEDIUM
1947848,46,20,20,11.0,6,1.0,5,0,0,20,1.0,6.0,0.0,0.0,0.0,0.06493603656508362,LOW
2906490,47,6,22,16.0,6,0.0,6,0,0,6,0.0,6.0,0.0,0.0,0.0,0.27394196279064886,MEDIUM
2924697,48,11,18,14.0,13,0.3846153846153846,9,0,0,11,0.3846153846153846,13.0,0.0,0.0,0.0,0.07273917993525836,LOW
519514,49,9,12,2.0,6,0.1666666666666666,5,0,0,9,0.1666666666666666,6.0,0.0,0.0,0.0,0.22575744851121726,MEDIUM
1750084,50,68,9,7.0,6,1.0,5,0,0,68,1.0,6.0,0.0,0.0,0.0,0.2948591307633195,HIGH
1647290,52,28,16,3.0,11,0.4545454545454545,8,0,0,28,0.4545454545454545,11.0,0.0,0.0,0.0,0.1405291824487621,LOW
3088145,53,4,10,13.0,13,0.1538461538461538,9,0,0,4,0.1538461538461538,13.0,0.0,0.0,0.0,0.2174980295250578,MEDIUM
39325,55,8,18,30.0,13,0.6153846153846154,12,0,0,8,0.6153846153846154,13.0,0.0,0.0,0.0,0.07849129382706732,LOW
13318,56,13,9,6.0,9,0.8888888888888888,5,0,0,13,0.8888888888888888,9.0,0.0,0.0,0.0,0.07421363741871212,LOW
1651215,59,11,12,10.0,21,0.5714285714285714,15,0,0,11,0.5714285714285714,21.0,0.0,0.0,0.0,0.18920319889017867,MEDIUM
1019719,62,11,12,29.0,16,0.5,8,0,0,11,0.5,16.0,0.0,0.0,0.0,0.08378630880635407,LOW
2989905,63,40,8,13.0,14,0.8571428571428571,11,0,0,40,0.8571428571428571,14.0,0.0,0.0,0.0,0.1767663312597645,LOW
2639013,64,11,13,27.0,16,0.875,11,0,0,11,0.875,16.0,0.0,0.0,0.0,0.18512265750330859,MEDIUM
1072954,65,15,17,30.0,8,0.75,7,0,0,15,0.75,8.0,0.0,0.0,0.0,0.053590466002878534,LOW
34647,66,7,19,23.0,7,0.4285714285714285,7,0,0,7,0.4285714285714285,7.0,0.0,0.0,0.0,0.05064347293392135,LOW
